日付,2021_6_14__13_45_18
年齢,22
性別,男性
右手
スコア(秒),63.79248
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
4.10008,201.5701, 480.7041, 122.2598
4.105909,201.5701, 480.7041, 122.2598
4.113022,201.511, 480.6473, 122.3235
4.120537,201.4915, 480.609, 122.4396
4.143609,201.5255, 480.3812, 122.6075
4.152528,201.4945, 480.3047, 122.6411
4.160133,201.5131, 480.1823, 122.7303
4.168057,201.418, 480.0993, 122.8437
4.175429,201.418, 480.0993, 122.8437
4.181233,201.3967, 480.0199, 122.9026
4.18876,201.4338, 479.882, 122.9538
4.195308,201.3195, 479.8305, 123.0093
4.201982,201.3195, 479.8305, 123.0093
4.209005,201.4108, 479.777, 122.9643
4.215292,201.3758, 479.7579, 123.0035
4.224434,201.3385, 479.75, 122.9812
4.232739,201.3864, 479.7624, 123.0249
4.238982,201.4076, 479.71, 123.076
4.249427,201.4505, 479.7283, 123.1254
4.258337,201.416, 479.783, 123.1931
4.267609,201.4603, 479.7912, 123.3107
4.275838,201.4245, 479.8354, 123.4061
4.283588,201.4633, 479.8141, 123.4493
4.29116,201.458, 479.8808, 123.4654
4.29905,201.458, 479.8808, 123.4654
4.306082,201.4865, 479.9568, 123.5542
4.315435,201.4517, 480.0774, 123.5529
4.323956,201.4517, 480.0774, 123.5529
4.331828,201.5339, 480.1386, 123.5703
4.338237,201.5741, 480.3105, 123.5331
4.346968,201.633, 480.3835, 123.6258
4.359336,201.6555, 480.5427, 123.6857
4.367147,201.6555, 480.5427, 123.6857
