日付,2021_5_30__23_34_56
年齢,12
性別,男性
右手
スコア(秒),21.08918
時間,手の甲の位置,,手の力_親指,人差し指...
time(s),x,y,z
1.572311,-80.80035, 324.1614, 60.96237
1.576929,-81.11228, 326.4473, 60.8602
1.58181,-81.11228, 326.4473, 60.8602
1.586474,-81.36682, 328.8551, 60.7979
1.591423,-81.65216, 331.282, 60.60344
1.595552,-81.879, 333.6889, 60.39455
1.600911,-81.879, 333.6889, 60.39455
1.605296,-81.99995, 335.9808, 60.20214
1.609644,-82.18949, 338.2297, 59.93813
1.614321,-82.20985, 340.1464, 59.68251
1.619309,-82.20985, 340.1464, 59.68251
1.623995,-82.30591, 342.0799, 59.49374
1.628472,-82.36641, 343.8902, 59.44234
1.633656,-82.43034, 345.6385, 59.32056
1.637865,-82.46302, 347.4626, 59.17746
1.642043,-82.63723, 349.674, 59.12235
1.646659,-82.80203, 352.0167, 59.03947
1.651205,-82.80203, 352.0167, 59.03947
1.656082,-83.07009, 354.4944, 59.0482
1.66026,-83.26541, 356.9201, 58.98958
1.665082,-83.46828, 359.1239, 59.00229
1.670589,-83.60194, 361.3506, 58.88075
1.674965,-83.78056, 363.369, 58.71946
1.679875,-83.78056, 363.369, 58.71946
1.684625,-83.90955, 365.1681, 58.59286
1.689575,-84.03249, 366.758, 58.49941
1.69373,-84.15184, 368.2679, 58.32319
1.698098,-84.27265, 369.7057, 58.0456
1.703138,-84.40807, 371.1458, 57.79658
1.707636,-84.55644, 372.6979, 57.72792
1.712998,-84.55644, 372.6979, 57.72792
1.717686,-84.78503, 374.2972, 57.58184
1.722845,-84.97541, 375.9446, 57.53463
1.726927,-84.97541, 375.9446, 57.53463
1.731544,-85.27961, 377.8547, 57.52388
1.736498,-85.51572, 379.7958, 57.63397
1.743304,-85.84126, 381.8673, 57.69815
1.748394,-85.84126, 381.8673, 57.69815
1.752935,-86.12341, 383.9124, 57.72195
1.758126,-86.41416, 385.7408, 57.80969
1.762222,-86.67287, 387.4569, 57.94249
1.767675,-86.67287, 387.4569, 57.94249
1.771961,-86.92287, 388.9851, 57.96223
1.776316,-87.22256, 390.3553, 58.0358
1.781085,-87.44932, 391.4233, 58.10955
1.785691,-87.44932, 391.4233, 58.10955
1.790509,-87.60703, 392.292, 58.14091
1.794839,-87.83018, 393.06, 58.12807
1.79917,-87.89433, 393.7427, 58.19214
1.80439,-88.06553, 394.2726, 58.21383
1.808717,-88.06553, 394.2726, 58.21383
1.81344,-88.14632, 394.7756, 58.1861
1.818676,-88.25701, 395.1322, 58.19395
1.823114,-88.36404, 395.4302, 58.13636
1.828004,-88.36404, 395.4302, 58.13636
1.834237,-88.50338, 395.7377, 58.20522
1.839433,-88.69606, 395.9842, 58.15079
1.843896,-88.82622, 396.296, 58.21513
1.848653,-88.82622, 396.296, 58.21513
1.853573,-88.95481, 396.6027, 58.24196
1.858292,-89.04323, 396.8665, 58.23155
1.877358,-89.18571, 396.9997, 58.27741
1.937174,-89.18571, 396.9997, 58.27741
1.948963,-89.31898, 397.2867, 58.30767
1.956027,-89.46769, 397.5872, 58.28117
1.963621,-89.541, 397.8427, 58.30318
1.972095,-89.541, 397.8427, 58.30318
1.980712,-89.65351, 398.0854, 58.28554
1.990889,-89.79225, 398.3578, 58.33671
1.997795,-89.92027, 398.6693, 58.29401
2.005498,-89.92027, 398.6693, 58.29401
2.011733,-89.99854, 398.844, 58.27673
2.018949,-90.00867, 399.0115, 58.30931
2.025489,-89.98609, 399.1673, 58.30158
2.03124,-89.98609, 399.1673, 58.30158
2.039042,-90.03042, 399.2655, 58.29426
2.045118,-90.00518, 399.3568, 58.35284
2.051938,-90.03652, 399.5046, 58.30708
2.059625,-89.98782, 399.5406, 58.27855
2.066072,-89.98782, 399.5406, 58.27855
2.073179,-89.96271, 399.614, 58.25496
2.083582,-89.87867, 399.6293, 58.22241
2.089728,-89.80282, 399.7359, 58.17049
2.097226,-89.80282, 399.7359, 58.17049
2.104499,-89.64453, 399.824, 58.07737
2.109582,-89.41369, 400.0058, 58.08811
2.11709,-89.20824, 400.2314, 58.1226
2.123386,-89.20824, 400.2314, 58.1226
2.130011,-89.04396, 400.6133, 58.1505
2.137253,-88.91315, 401.0519, 58.17764
2.143074,-88.73809, 401.6427, 58.26816
2.150444,-88.64584, 402.3409, 58.33577
2.155859,-88.64584, 402.3409, 58.33577
2.16292,-88.54652, 403.1718, 58.39788
2.170647,-88.49238, 404.0696, 58.45134
2.176798,-88.41019, 404.8871, 58.5286
2.183548,-88.3529, 405.794, 58.59804
2.189487,-88.30998, 406.5712, 58.63593
2.197626,-88.30998, 406.5712, 58.63593
2.204964,-88.2923, 407.3701, 58.68006
2.210861,-88.29026, 408.1424, 58.81375
2.218761,-88.27573, 409.6488, 59.00117
2.227163,-88.30161, 410.3811, 59.02163
2.233572,-88.32671, 411.0626, 59.11651
2.240469,-88.32671, 411.0626, 59.11651
